XCO2,nW,date,nW_b,,XCO2_c,nW_c,date_c
395.3677979,144.1924438,14-Nov,0.1052267923951149,,NaN,1.834552765,2015-09-01
394.1198309,109.7081375,15-Sep,-0.016038032,,396.6560745,1.296300173,2015-10-01
396.2074332,92.72361755,15-Oct,-0.023563825,,397.5999451,1.82899487,2016-10-01
399.1848015,114.4819336,15-Nov,0.099094823,,401.2359375,1.720000029,2017-10-01
NaN,107.756958,16-Sep,0.037398599088191986,,407.7942283,6.829999924,2018-11-01
398.0278561,115.5690384,16-Oct,0.232158825,,403.6054685,1.460000038,2019-09-01
401.2475806,86.28941345,16-Nov,0.22069330513477325,,409.4487508,5.929999828,2019-11-01
NaN,103.1085815,17-Sep,0.2232019007205963,,409.8220215,2.170000076,2020-09-01
402.0596184,103.2900009,17-Oct,0.4399999976158142,,412.2417362,4.690000057,2020-11-01
NaN,111.2799988,17-Nov,0.3199999928474426,,409.0841824,2.039999962,2021-09-01
NaN,92.33000183,18-Sep,0.14000000059604645,,417.6603851,8.869999886,2021-11-01
404.1094862,74.41999817,18-Oct,0.23999999463558197,,409.1824552,2.940000057,2022-09-01
407.4285438,121.7799988,18-Nov,0.4000000059604645,,416.9085608,5.03000021,2022-11-01
404.5596912,79.06999969,19-Sep,0.25,,,,
NaN,95.13999939,19-Oct,0.33000001311302185,,,,
408.7428672,105.7699966,19-Nov,0.23999999463558197,,,,
409.2620529,94.47000122,20-Sep,0.2199999988079071,,,,
408.6825908,110.4599991,20-Oct,0.33000001311302185,,,,
412.0838083,112.0100021,20-Nov,0.30000001192092896,,,,
409.2145476,100.8899994,21-Sep,0.3100000023841858,,,,
NaN,82.01999664,21-Oct,0.30000001192092896,,,,
414.4760395,125.9199982,21-Nov,0.4300000071525574,,,,
409.0202877,87.73999786,22-Sep,0.38999998569488525,,,,
NaN,108.8700027,22-Oct,0.44999998807907104,,,,
416.7511054,159.7400055,22-Nov,0.3799999952316284,,,,
